timestamp,event,attention_state,window
2026-03-13 23:18:02.940854,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.947201,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.954529,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.961506,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.968877,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.975984,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.982960,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.990300,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.997326,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.004425,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.011502,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.018347,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.025499,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.033211,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.040413,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.046892,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.054001,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.060885,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.068263,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.075397,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.082330,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.089314,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.096992,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.103621,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.110576,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.117812,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.124729,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.131777,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.138834,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.146119,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.152867,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.160034,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.167137,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.174630,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.181625,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.188801,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.196296,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.202747,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.209649,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.216819,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.224928,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.231294,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.238087,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.245265,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.252338,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.259469,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.266244,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.273659,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.280755,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.287906,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
